permno,ticker,permco,cusip,company,price_x,sheet_row,is_duplicate_row,weight_target,price_y,target_value,shares,value,weight_actual,weight
17005,CVS,21185,12665010,C V S HEALTH CORP,79.36,144,False,0.0009777160584946,79.36,8582.88268442641,108,8570.88,0.0008570879999999999,0.0008570879999999999
14541,CVX,20440,16676410,CHEVRON CORP NEW,152.41,145,False,0.0018375678984192,152.41,16131.094053097302,105,16003.05,0.001600305,0.001600305
64936,D,20592,25746U10,DOMINION ENERGY INC,58.59,146,False,0.0015553672682996,58.59,13653.795167859536,233,13651.470000000001,0.0013651470000000001,0.0013651470000000001
91926,DAL,20569,24736170,DELTA AIR LINES INC,69.4,147,False,0.0019838874084989,69.4,17415.56021128892,250,17350.0,0.001735,0.001735
20189,DASH,57587,25809K10,DOORDASH INC,226.48,148,False,0.0013136752594311,226.48,11532.101308114938,50,11324.0,0.0011324,0.0011324
17700,DAY,56345,15677J10,DAYFORCE INC,69.16,149,False,,,,0,0.0,,0.0
16851,DD,56027,26614N10,DUPONT DE NEMOURS INC,40.2,150,False,0.0024655510802318,40.2,21643.845869395853,538,21627.600000000002,0.00216276,0.00216276
18911,DDOG,56876,23804L10,DATADOG INC,135.99,151,False,0.000977469281184,135.99,8580.716349233633,63,8567.37,0.0008567370000000001,0.0008567370000000001
19350,DE,20566,24419910,DEERE & CO,465.57,152,False,0.002337455242771,465.57,20519.356263505357,44,20485.079999999998,0.0020485079999999997,0.0020485079999999997
79686,DECK,12484,24353710,DECKERS OUTDOOR CORP,103.67,153,False,0.0008093943545588,103.67,7105.270216499755,68,7049.56,0.0007049560000000001,0.0007049560000000001
18267,DELL,55676,24703L20,DELL TECHNOLOGIES INC,125.88,154,False,0.0008358944621544,125.88,7337.901472416646,58,7301.04,0.000730104,0.000730104
93096,DG,53264,25667710,DOLLAR GENERAL CORP NEW,132.77,155,False,0.0004607053807731,132.77,4044.3032523653233,30,3983.1000000000004,0.00039831,0.00039831
84373,DGX,31838,74834L10,QUEST DIAGNOSTICS INC,173.53,156,False,0.0017560424625299,173.53,15415.422825285048,88,15270.64,0.0015270639999999999,0.0015270639999999999
77661,DHI,11559,23331A10,D R HORTON INC,144.03,157,False,0.0015383717520658,144.03,13504.599989230099,93,13394.79,0.0013394790000000002,0.0013394790000000002
49680,DHR,20557,23585110,DANAHER CORP,228.92,158,False,0.0016298703347805,228.92,14307.820509552457,62,14193.039999999999,0.001419304,0.001419304
26403,DIS,20587,25468710,DISNEY WALT CO,113.77,159,False,0.0028366283679768,113.77,24901.348699485727,218,24801.86,0.002480186,0.002480186
90373,DLR,45684,25386810,DIGITAL REALTY TRUST INC,154.71,160,False,0.0018391339342605,154.71,16144.84150235796,104,16089.84,0.001608984,0.001608984
81481,DLTR,13603,25674610,DOLLAR TREE INC,123.01,161,False,0.0005380372127241,123.01,4723.160918290503,38,4674.38,0.00046743800000000003,0.00046743800000000003
67598,DOC,20891,42250P10,HEALTHPEAK PROPERTIES INC,16.08,162,False,0.002633915235618,16.08,23121.830997478184,1437,23106.96,0.002310696,0.002310696
25953,DOV,20596,26000310,DOVER CORP,195.24,163,False,0.0043778684777657,195.24,38431.12857363276,196,38267.04,0.003826704,0.003826704
18428,DOW,56668,26055710,DOW INC,23.38,164,False,0.0016288108558455,23.38,14298.519871267219,611,14285.18,0.001428518,0.001428518
90248,DPZ,45379,25754A20,DOMINOS PIZZA INC,416.82,165,False,0.0019333361363482,416.82,16971.795751609276,40,16672.8,0.00166728,0.00166728
81655,DRI,30886,23719410,DARDEN RESTAURANTS INC,184.02,166,False,0.0021861451405192,184.02,19191.080180369983,104,19138.08,0.0019138080000000001,0.0019138080000000001
11674,DTE,20574,23333110,D T E ENERGY CO,128.98,167,False,0.0022538968579327,128.98,19785.838788634876,153,19733.94,0.001973394,0.001973394
27959,DUK,20608,26441C20,DUKE ENERGY CORP NEW,117.21,168,False,0.0019389097095993,117.21,17020.723377305538,145,16995.45,0.001699545,0.001699545
82307,DVA,30975,23918K10,DAVITA INC,113.61,169,False,0.0014187260264181,113.61,12454.28970946604,109,12383.49,0.001238349,0.001238349
87137,DVN,35222,25179M10,DEVON ENERGY CORP NEW,36.63,170,False,0.0010649848144875,36.63,9348.971661072823,255,9340.650000000001,0.0009340650000000002,0.0009340650000000002
90664,DXCM,46559,25213110,DEXCOM INC,66.37,171,False,0.0008666229530681,66.37,7607.651601086755,114,7566.18,0.000756618,0.000756618
75828,EA,10303,28551210,ELECTRONIC ARTS INC,204.33,172,False,,,,0,0.0,,0.0
